,GLC_CHEM_mu=0.11_V,GLC_CHEM_mu=0.12_S,GLC_CHEM_mu=0.20_S,GLC_CHEM_mu=0.21_P,GLC_CHEM_mu=0.21_V,GLC_CHEM_mu=0.22_P,GLC_CHEM_mu=0.26_P,GAL_BATCH_mu=0.26_S,ACE_BATCH_mu=0.3_S,GLC_CHEM_mu=0.31_P,GLC_CHEM_mu=0.31_V,GLC_CHEM_mu=0.35_S,GLC_CHEM_mu=0.36_P,GLC_CHEM_mu=0.40_V,PYR_BATCH_mu=0.40_S,GLC_CHEM_mu=0.41_P,FUM_BATCH_mu=0.42_S,SUCC_BATCH_mu=0.44_S,GLC_CHEM_mu=0.46_P,GAM_BATCH_mu=0.46_S,GLYC_BATCH_mu=0.47_S,MAN_BATCH_mu=0.47_S,GLC_CHEM_mu=0.49_V,GLC_CHEM_mu=0.50_S,GLC_CHEM_mu=0.51_P,GLC+SALTS_BATCH_mu=0.55_S,XYL_BATCH_mu=0.55_S,GLC_BATCH_mu=0.58_S,GLC@pH6_BATCH_mu=0.63_S,FRU_BATCH_mu=0.65_S,GLC@42deg_BATCH_mu=0.66_S
GLCS1,3.90478243248782e-06,2.71194873227586e-06,2.38533125894193e-06,1.5524227869009898e-06,3.7689201571306398e-06,1.6185957202411998e-06,1.54828803825845e-06,1.52116327147915e-06,1.82024819802211e-06,1.4159999999999999e-06,3.72866466813592e-06,2.2140518947095903e-06,1.38780416306444e-06,1.7108582822755899e-06,3.2355349279506e-06,1.41070066965761e-06,1.2243057184417699e-06,1.25993439392388e-06,1.8706510630179901e-06,1.38314985911487e-06,1.4867084003731702e-06,1.6201309491246099e-06,2.6317025930297996e-06,2.1287521596650103e-06,1.24451112238246e-06,1.4428490679111e-06,7.070000000000001e-07,1.17293722334967e-06,1.28460348839805e-06,1.62857932672895e-06,1.6683063392107e-06
GPDDA5pp,,3.44290366402208e-07,3.38688008369036e-07,,,,1.9125911060839699e-07,,4.0255488994719794e-07,,,3.69e-07,,3.4619720535459e-07,,,4.2e-07,2.4964644337810696e-07,4.99352439819997e-07,,2.37873344059708e-06,2.8590546161022503e-07,,4.0405137652692706e-07,,1.91177501498221e-07,2.92176936251998e-07,5.811531861913771e-07,1.6143412822114598e-07,2.82196417783931e-07,4.1876515397191703e-07
GTPDPK,6.84343312910236e-07,5.03193612433997e-07,4.69324811597093e-07,2.7928972247978895e-07,7.74918163148355e-07,3.13429155758286e-07,2.1399999999999998e-07,2.73776377546347e-07,2.2753102475276399e-07,2.7261335207453e-07,6.44087823915516e-07,3.85781769532731e-07,2.49432615404478e-07,3.2200000000000005e-07,4.83065867936637e-07,2.1594329134531001e-07,2.1e-07,1.8723483253357998e-07,2.72723255593998e-07,1.99557020510265e-07,2.24912296466711e-07,2.40160587752589e-07,3.92491017698518e-07,3.7412164493234e-07,1.98551987902226e-07,2.56105709554221e-07,2.74141322903109e-07,2.2679148729419604e-07,2.23259964561159e-07,2.48196849376228e-07,3.1069672714045403e-07
UGLT,,4.07851664814924e-07,4.40294410879747e-07,3.15677898439062e-07,,3.24176564550564e-07,3.602e-06,3.03322438127873e-07,4.46310856245806e-07,2.79581753630642e-07,,4.822272119159139e-07,3.6299999999999995e-07,6.9239441070918e-07,,2.5648320166117396e-07,4.75458531433698e-07,4.5248417862281893e-07,5.76175892099996e-07,2.35e-07,5.60374704756042e-07,5.26066049362815e-07,,4.0779259297625e-07,2.33648504579632e-07,4.90568683089775e-07,4.76140192410664e-07,5.350861653347429e-07,3.95e-07,3.74e-07,5.67359240865178e-07
3OAR121,1.82961197481001e-05,9.253465693917822e-06,9.28972822955071e-06,2.07657136754591e-05,1.74557864153354e-05,2.06592885618053e-05,1.15256383083298e-05,2.1986696104565302e-05,1.10308791038792e-05,2.1470882498330302e-05,1.75312654572005e-05,1.04035279370729e-05,2.23098123385183e-05,1.34735121665327e-05,1.77828622634174e-05,2.1756160891733397e-05,1.3289065953571901e-05,1.63752463953327e-05,1.35017217382099e-05,2.17218865547105e-05,1.3311758292572099e-05,1.33384428023224e-05,1.9070999999999997e-05,1.1193719616375599e-05,2.1173833889103197e-05,1.38261011932581e-05,1.3068605432604801e-05,1.65664094234432e-05,1.33269024999584e-05,1.32972312042524e-05,1.09284196633316e-05
3OAR120,1.82961197481001e-05,9.253465693917822e-06,9.28972822955071e-06,2.07657136754591e-05,1.74557864153354e-05,2.06592885618053e-05,1.15256383083298e-05,2.1986696104565302e-05,1.10308791038792e-05,2.1470882498330302e-05,1.75312654572005e-05,1.04035279370729e-05,2.23098123385183e-05,1.34735121665327e-05,1.77828622634174e-05,2.1756160891733397e-05,1.3289065953571901e-05,1.63752463953327e-05,1.35017217382099e-05,2.17218865547105e-05,1.3311758292572099e-05,1.33384428023224e-05,1.9070999999999997e-05,1.1193719616375599e-05,2.1173833889103197e-05,1.38261011932581e-05,1.3068605432604801e-05,1.65664094234432e-05,1.33269024999584e-05,1.32972312042524e-05,1.09284196633316e-05
ADNUC,1.258e-06,1.499e-06,1.5869999999999998e-06,,1.31333532845273e-06,,6.238690036512e-07,3.6310144612426293e-07,9.23250888900638e-07,,9.41e-07,1.60183299958156e-06,,1.02651496936535e-06,5.03193612433997e-07,,1.4501485208727801e-06,1.0063872248679899e-06,5.91540582555996e-07,,8.081594381515709e-07,1.20080293876295e-06,1.71085828227559e-07,1.0924352032024299e-06,,2.2364160552622103e-07,2.27248728195999e-07,1.48831913536816e-07,9.617352319557619e-08,2.9239628830624104e-07,1.75611193601126e-07
LSERDHr,1.59763971947794e-05,6.5944847103192196e-06,8.114e-06,9.47879766564298e-06,1.70884550782585e-05,1.00495406617267e-05,8.01922128050922e-06,9.631301788054519e-06,8.42739910911198e-06,8.82614724868322e-06,1.4330999999999999e-05,6.9818113725217104e-06,8.63280017053938e-06,8.18394091262653e-06,1.46429341218293e-05,7.845e-06,8.273e-06,9.86883596479079e-06,9.472331666123939e-06,7.628e-06,9.0003039314899e-06,7.6927629537258e-06,1.2167221548654e-05,7.28788964328198e-06,7.641486217715379e-06,7.4018157183839495e-06,6.85714019524751e-06,6.701e-06,9.08152840461084e-06,7.473105136013009e-06,8.122000000000001e-06
DHNCOAT,,2.38354869047683e-07,2.8546560705390203e-07,,,,2.8688866591259496e-07,,2.6691139442151104e-07,,,3.94168329739964e-07,,2.4555848286779e-07,,,5.348908478629099e-07,3.9787401913385796e-07,5.95381755169996e-07,,3.7739520932549794e-07,,,3.3670948043910603e-07,,,4.0760486168488604e-07,6.83918078871559e-07,5.63302064431232e-07,,5.74113517542144e-07
MICITDr,4.55541177336497e-05,7.289951250451679e-05,7.93981459619412e-05,0.0001122082,5.961837920118e-05,0.0001114974,5.863e-05,0.0001130042,9.995612941254108e-05,9.9395389719181e-05,4.68674530621025e-05,8.496e-05,8.12433831867338e-05,6.599887420684301e-05,3.14093452881301e-05,6.74958967058125e-05,7.722635196811841e-05,7.624748482362281e-05,5.2827646960341705e-05,5.8810207138056396e-05,4.11398898893007e-05,6.2964e-05,2.33481836169375e-05,5.8860558397205e-05,4.94977613033462e-05,2.4156900519501603e-05,1.01540503154244e-05,2.69173146482299e-05,1.59682396191512e-05,2.98584209756443e-05,1.63521038349357e-05
GGGABAH,,,,1.3747432366118499e-06,,1.1166519843224198e-06,,1.0058591096217501e-06,,1.13283748587866e-06,,,,,,,,,,,,,,,,,,,,,
MG2uabcpp,,7.15064607143048e-07,3.9674880980372793e-07,,,,3.6885685617333705e-07,,7.43851427076343e-08,,,2.18050565388065e-07,,4.38784830042445e-07,,,3.88291134004187e-07,3.198595055782e-07,3.6107022571599797e-07,,2.97341680074635e-07,1.86791568252014e-07,,1.60872307320906e-07,,2.45284341544887e-07,2.77748445572887e-07,2.3033510428316802e-07,1.40825516107808e-07,2.24397151490836e-07,1.48594086893261e-07
G6Pt6_2pp,,1.3241937169315698e-07,3.19334407890806e-07,,,,,,,,,4.1513473025804794e-07,,,,,,,,,,,,,,,,,,,
EAR160x,3.6431217540221396e-05,1.29029435777812e-05,1.225082910272e-05,3.43235073496867e-05,3.39152494780514e-05,3.5840373412924e-05,1.05101435067662e-05,3.5317e-05,1.2662999999999999e-05,3.6004621711103006e-05,3.3215810356768104e-05,1.2844000000000001e-05,3.5808803166192204e-05,1.61263488912847e-05,3.49618921919141e-05,3.62573372254661e-05,1.57337152360268e-05,1.3344382543695402e-05,1.54453550808939e-05,3.80211940958739e-05,1.4565930250835598e-05,9.922825554285561e-06,4.48496466762421e-05,1.4351306299604599e-05,3.98306949555651e-05,1.1250615607036802e-05,1.1687077450079902e-05,1.77676955827047e-05,1.3478e-05,1.2216e-05,1.35389475989792e-05
EAR160y,3.6431217540221396e-05,1.29029435777812e-05,1.225082910272e-05,3.43235073496867e-05,3.39152494780514e-05,3.5840373412924e-05,1.05101435067662e-05,3.5317e-05,1.2662999999999999e-05,3.6004621711103006e-05,3.3215810356768104e-05,1.2844000000000001e-05,3.5808803166192204e-05,1.61263488912847e-05,3.49618921919141e-05,3.62573372254661e-05,1.57337152360268e-05,1.3344382543695402e-05,1.54453550808939e-05,3.80211940958739e-05,1.4565930250835598e-05,9.922825554285561e-06,4.48496466762421e-05,1.4351306299604599e-05,3.98306949555651e-05,1.1250615607036802e-05,1.1687077450079902e-05,1.77676955827047e-05,1.3478e-05,1.2216e-05,1.35389475989792e-05
PPK2r,4.3777844281757707e-07,5.137871621694489e-07,4.88678412075324e-07,1.87649031366584e-07,4.42810378941917e-07,1.90598817196406e-07,2.5045835913004397e-07,1.5067584844011e-07,2.71286991051372e-07,1.52155233536994e-07,3.92491017698518e-07,3.94168329739964e-07,1.4432007432722e-07,2.25430738370431e-07,3.32107784206438e-07,1.3278492744975902e-07,1.94145567002093e-07,2.2234136363362603e-07,3.6107022571599797e-07,1.61766136911441e-07,2.51596806216998e-07,2.47784733395529e-07,3.27075848082098e-07,4.3023989167219105e-07,1.41751213581736e-07,3.13819672270665e-07,2.30855850865776e-07,2.1261701933830898e-07,3.74389786725636e-07,3.12796029350863e-07,6.14639177603943e-07
AM3PA,,4.76709738095366e-07,2.46758406097441e-07,,,,4.5993262312971706e-07,,5.11944805693719e-07,,,8.38656020723328e-07,,4.870914168361089e-07,,,3.96215442861415e-07,5.03193612433997e-07,1.11394005805999e-06,,4.0407971907578503e-07,,,4.34e-07,,,3.03e-07,5.91784037158292e-07,2.50738114045609e-07,,2.9381103544803803e-07
UDPKAAT_reverse,2.1888922140878897e-06,5.8264523544989094e-08,,,,,,1.11983379251157e-06,5.6882756188190904e-08,,,5.0319361243399697e-08,1.341e-06,,,,7.528093414366879e-08,,5.37764165959997e-08,,6.86173107864541e-08,,,,,,,5.31542548345771e-08,,,5.0657075077248e-08
FUMt2_2pp,2.54615967891602e-06,3.1039100724875998e-06,2.72885766743052e-06,6.09937674411539e-06,,5.11180219244815e-06,1.10657056852001e-06,,9.057485023811941e-07,5.71114352386119e-06,,1.68989188175751e-06,2.8948325082243498e-06,5.07219161333469e-07,,2.72694487988643e-06,2.3614440394540297e-06,2.2117114593029203e-06,4.80146576749997e-07,,3.6977106368255794e-07,7.77662855579813e-07,,9.5775141102679e-07,1.1533542000579099e-06,2.0199999999999998e-07,3.39069530959109e-07,1.31113828591957e-07,1.88912277705596e-07,2.48196849376228e-07,1.9925116197050898e-07
HMBS,,6.25e-07,7.790000000000001e-07,,,,8.56112209389968e-07,,5.907055450312139e-07,,,7.00277777303979e-07,,8.9769740458225e-07,,,7.250742604363891e-07,7.68442958523235e-07,8.642638381499941e-07,,1.66206375016078e-06,7.7e-07,,6.1730071413836e-07,,6.99781797936884e-07,8.00781232690662e-07,7.93770205529685e-07,8.62126940074629e-07,6.357919292240371e-07,7.80118956189619e-07
GTPCI,7.3063712525416305e-06,6.854e-06,1.0097741049516801e-05,1.11994696917696e-05,8.795824345346272e-06,1.07235305139128e-05,1.57834304135406e-05,1.17551567585135e-05,1.27767421591937e-05,1.1867146123677301e-05,9.354369255148e-06,1.33723702504335e-05,1.1666e-05,2.0538350485106e-05,9.62609380586236e-06,1.27640794076919e-05,1.92402219053503e-05,2.04554054542936e-05,2.2394e-05,1.2851934090055499e-05,2.60822022444955e-05,1.6228e-05,1.1221217557278099e-05,2.1605524994842603e-05,1.39373394536009e-05,3.61145121698149e-05,3.6623116466253496e-05,5.0234314435664396e-05,3.3732863260848305e-05,2.9923e-05,2.2978000000000003e-05
PPPGO3,2.96884231336058e-07,3.39e-07,5.46739213510016e-07,4.12887183738936e-07,3.12e-07,,3.2787276104296606e-07,1.0146615683937201e-06,3.36920940499285e-07,6.44614872489931e-07,2.9185229521171797e-07,5.70286094091863e-07,7.95750972484668e-07,5.79679041523964e-07,2.76756486838698e-07,5.67478873332778e-07,4.2e-07,3.0035587718928497e-07,6.72205207449996e-07,6.9e-07,5.7943506886339e-07,4.0407971907578503e-07,3.12e-07,5.35e-07,6.20934117769243e-07,4.61711701731553e-07,4.1842622969422e-07,3.7562340083101203e-07,4.94606690720106e-07,3.4e-07,4.79553644064614e-07
PG161abcpp,3.47203592579458e-07,6.72690408201238e-07,6.628608163794e-07,2.79467740679611e-07,3.47203592579458e-07,2.93355542962904e-07,3.0965760765169e-07,2.8460766941426303e-07,3.58798923648589e-07,3.0876383002892897e-07,3.12e-07,6.37378575749729e-07,2.86e-07,4.71e-07,3.06948103584738e-07,2.8327742275840604e-07,3.6055605300388706e-07,3.9007256777829203e-07,6.06905273011996e-07,3.42210921252e-07,4.46e-07,4.917573939695879e-07,2.51596806216998e-07,5.686649002971561e-07,3.24198803079047e-07,5.05e-07,3.2100000000000003e-07,5.38629782323715e-07,2.81651032215616e-07,5.813926197717129e-07,2.2626826867837401e-07
DHBD_reverse,,1.16529047089978e-07,1.0160640251071099e-07,,,,2.5956593582568196e-07,,2.2753102475276399e-07,,,1.04832002590416e-07,,4.79e-07,,,2.93199427717447e-07,5.46101594889609e-07,3.15e-07,,3.35462408289331e-07,3.66e-07,,1.60872307320906e-07,,1.29856416111999e-06,3.27887450682798e-06,5.03193612433997e-07,1.264e-06,5.1e-07,4.82930782403098e-07
TYRPpp,1.96245508849259e-06,7.73329130688037e-07,9.483264234333022e-07,,2.677e-06,1.19785745187535e-06,3.18765184347328e-07,,3.8505250342775397e-07,3.217730273187e-06,2.521e-06,7.71563539065462e-07,,3.8242714544983795e-07,,,4.6753422257647e-07,3.16e-07,6.145876182399961e-07,,3.1640204418198297e-07,3.12589971360513e-07,,4.90099354861365e-07,,2.12820237516888e-07,2.66927077563554e-07,2.97663827073632e-07,2.1300000000000001e-07,1.22398446267729e-07,3.03942450463488e-07
NTP11,,7.256581568785009e-07,7.596288187705529e-07,,,,9.74510706433261e-07,,1.0282652080173e-06,,,9.64454423831827e-07,,8.25237524391755e-07,,,1.2956244981568301e-06,1.10780609249035e-06,1.548e-06,,1.09025282694033e-06,,,1.0400581729118999e-06,3.20892259372091e-07,,1.03163708355644e-06,1.4706010504233e-06,1.54564590850033e-06,,1.29682112197755e-06
NTP12,,7.256581568785009e-07,7.596288187705529e-07,,,,9.74510706433261e-07,,1.0282652080173e-06,,,9.64454423831827e-07,,8.25237524391755e-07,,,1.2956244981568301e-06,1.10780609249035e-06,1.548e-06,,1.09025282694033e-06,,,1.0400581729118999e-06,3.20892259372091e-07,,1.03163708355644e-06,1.4706010504233e-06,1.54564590850033e-06,,1.29682112197755e-06
DHAD1,1.25798403108499e-07,1.46720663836018e-06,1.8531072457905899e-06,1.1195880000482001e-06,1.71085828227559e-07,1.1263371719341801e-06,2.02188202643163e-06,1.25174548693248e-06,2.20530070144987e-06,1.24170336721532e-06,3.12e-07,2.13857285284449e-06,1.36372529823544e-06,4.00139560607514e-06,2.3146906171963896e-07,1.4467047920903e-06,2.69030285702901e-06,2.8046217623259202e-06,3.4493730073719804e-06,1.5490000000000001e-06,2.70657170324347e-06,3.06490654846162e-06,3.9752295382285793e-07,3.14636303388098e-06,1.73463800885118e-06,5.32411306059197e-06,7.5136365211470705e-06,4.2487967697772005e-06,3.9293753762764e-06,4.13094756153585e-06,3.91748047264051e-06
DHAD2,1.25798403108499e-07,1.46720663836018e-06,1.8531072457905899e-06,1.1195880000482001e-06,1.71085828227559e-07,1.1263371719341801e-06,2.02188202643163e-06,1.25174548693248e-06,2.20530070144987e-06,1.24170336721532e-06,3.12e-07,2.13857285284449e-06,1.36372529823544e-06,4.00139560607514e-06,2.3146906171963896e-07,1.4467047920903e-06,2.69030285702901e-06,2.8046217623259202e-06,3.4493730073719804e-06,1.5490000000000001e-06,2.70657170324347e-06,3.06490654846162e-06,3.9752295382285793e-07,3.14636303388098e-06,1.73463800885118e-06,5.32411306059197e-06,7.5136365211470705e-06,4.2487967697772005e-06,3.9293753762764e-06,4.13094756153585e-06,3.91748047264051e-06
ADPT,3.53241915928666e-06,2.945e-06,3.36752648321213e-06,2.5435256077106497e-06,3.91987824086084e-06,2.5696143231184896e-06,3.0919999999999998e-06,2.921e-06,4.257455520854599e-06,2.90776671020184e-06,4.16644311095349e-06,4.17231370309856e-06,2.875e-06,5.3298267429009e-06,4.64950897889013e-06,2.8954329950926398e-06,5.0636333597688794e-06,5.69505948956307e-06,5.89235878987596e-06,3.36757525479376e-06,6.8121741319663105e-06,5.26066049362815e-06,5.74143911787191e-06,5.57067129304254e-06,3.08246924946837e-06,7.088e-06,8.41181006592173e-06,1.0847e-05,7.50840434662606e-06,6.53131709111965e-06,6.23082023450151e-06
GLTPD,3.5787129716305895e-05,6.7904653804251e-06,5.83511054418654e-06,2.00658493151508e-05,,2.28047567886006e-05,3.2878351871253e-06,1.00726030934905e-05,4.747522343399009e-06,1.7159e-05,,5.5393230168775805e-06,7.24685538701266e-06,2.4555848286779e-06,,1.3962937640549499e-05,3.7165008540400704e-06,3.5808661722047202e-06,2.3930505385219798e-06,7.71354776132672e-06,2.3558610036682597e-06,2.84380632481638e-06,,2.91814883047225e-06,5.98475563289368e-06,1.27692142510133e-06,5.37461277796886e-07,4.535829745883921e-07,3.57215943297854e-07,1.39738226155657e-06,8.07136062897485e-07
FRULYSDG_reverse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8391067654457e-08,,
ALAGLUE_reverse,1.49448502892897e-06,8.104065547621209e-07,8.999424222377251e-07,,1.33346307295009e-06,,5.28239448347001e-07,,6.2133472144024e-07,,8.805888217594949e-07,5.82865934402713e-07,,3.7840159655036603e-07,6.24e-07,,5.348908478629099e-07,3.58866762356029e-07,7.83599213255995e-07,,3.66e-07,,4.6293812343927707e-07,4.56428406817454e-07,,,2.4167721887511e-07,3.61448932875125e-07,3.16e-07,,2.46531098709274e-07
3OAS181,3.5877704566544e-06,6.21311691984293e-06,6.76892176726117e-06,2.69384102185757e-06,4.292241514061991e-06,2.43340994301602e-06,8.87077970155137e-06,2.7091054702641203e-06,5.408237434508001e-06,2.97039146040522e-06,4.70486027625787e-06,6.8098868882734295e-06,3.14043269142008e-06,6.35231616336678e-06,4.73e-06,3.10836745523059e-06,7.230931832220821e-06,8.566e-06,7.19451630602196e-06,3.13169396632631e-06,8.150211692302161e-06,7.277247016185609e-06,4.85078642386373e-06,7.07089908922122e-06,3.03264069160196e-06,9.56608932025061e-06,8.51641662334528e-06,6.79311376785896e-06,7.18210132149821e-06,7.717902028548461e-06,8.794068233410249e-06
THFAT,3.01362654486721e-05,2.7146e-05,3.32446472214807e-05,4.29010698821271e-05,3.7357093787099894e-05,4.30427030235745e-05,5.7054414209824e-05,4.4943444127931e-05,3.97785489620649e-05,4.60242130313273e-05,3.59884071612795e-05,3.86578492752418e-05,4.5608e-05,6.15063616350323e-05,4.5695e-05,4.6493000000000004e-05,5.5276000000000004e-05,6.47052375430631e-05,6.42167237608516e-05,4.92922007554735e-05,5.35977438698636e-05,6.12104532943385e-05,4.68171337008591e-05,4.95973064686803e-05,5.27533178275943e-05,7.862445283314571e-05,9.00662459416808e-05,8.685405239969899e-05,8.317292372074559e-05,7.14942924477168e-05,6.659716803488871e-05
AMALT4,,2.38354869047683e-07,3.5799999999999995e-07,1.90173345462922e-07,,3.3226097590774004e-07,1.9581289895621603e-07,2.10457270737313e-07,1.26892302265964e-07,1.9270176876611e-07,,3.5223552870379794e-07,2.65653642221941e-07,1.73098602677295e-07,,2.0146042734999602e-07,1.90183412573479e-07,1.6383047846688302e-07,2.22788011611999e-07,,2.3253644210965e-07,2.8209338878875604e-07,,3.77862861381663e-07,1.59125352442083e-07,1.1182080276311e-07,8.657094407466611e-08,2.3033510428316802e-07,1.16782135308914e-07,2.65196633580079e-07,8.10513201235968e-08
KARA1_reverse,4.3370257455686205e-05,3.6007475550803295e-05,5.60431885848364e-05,0.0001176185,5.25233492658606e-05,0.0001167652,6.182223060999039e-05,0.0001200294,6.82768098123486e-05,0.0001227046,5.96888263069207e-05,7.48081170485209e-05,0.00012123409999999999,5.6675702955665894e-05,6.220982630521501e-05,0.0001214932,7.90608294685667e-05,9.66365779413941e-05,8.061853082263149e-05,0.000122939,0.00011079790000000001,9.09293730105161e-05,7.33354370761307e-05,0.0001004779,0.0001213691,0.000105851,0.0001502908,0.00011813709999999999,6.79191159881901e-05,0.0001216845,0.00011490040000000002
CTECOAI6_reverse,9.56067863624594e-06,1.05935497354526e-05,1.05525506607553e-05,7.977312142490781e-06,9.34933731902366e-06,8.463152578108971e-06,5.35980888538294e-06,7.12828853871868e-06,2.67348954084497e-06,7.435259020931059e-06,5.29862873892999e-06,7.08245009500851e-06,6.69589025366223e-06,4.14631536645613e-06,1.95742315236825e-06,6.11567635777746e-06,3.661e-06,3.5847668978824995e-06,2.66961496672998e-06,5.699e-06,1.06356831719004e-06,4.7117220073365194e-06,7.49758482526655e-07,3.22866979576609e-06,4.7985826545739996e-06,1.04606557423555e-06,7.46674392643995e-07,6.13e-07,5.18650071519e-07,1.122e-06,4.99816474095514e-07
FA160ACPHi,,,7.2576001793365e-07,,,,8.199999999999999e-08,,,,,6.70924816578663e-08,,5.63576845926077e-08,,,1.54524022715952e-07,7.8e-08,1.42123386717999e-07,,1.1436218464409001e-07,,,,,,6.85353307257773e-08,7.8e-08,9.960829188113249e-08,,1.21576980185395e-07
VALTA_reverse,3.86955887961744e-06,4.21093601984239e-06,4.44648970987349e-06,5.6674618816307605e-06,6.58177245063668e-06,6.22642444406006e-06,5.27328690677438e-06,5.89752238539623e-06,5.49137377047536e-06,7.108731215104711e-06,7.89510777908941e-06,6.017356948689881e-06,7.9834281039513e-06,7.93033133195979e-06,1.09444610704394e-05,8.0898146467011e-06,6.84660285264525e-06,7.67272740819901e-06,7.0447105740759595e-06,8.93659798692332e-06,7.239126287970911e-06,6.2441752815673205e-06,9.88775448432804e-06,8.85171811909916e-06,1.0911625652472699e-05,1.45042402551764e-05,1.8645217080081197e-05,9.245296724227451e-06,1.20594728549881e-05,1.00060729823868e-05,8.892e-06
GLCTR1,,,6.289920155424959e-08,,,,,,7.87607393374952e-08,,,,,,,,5.94323164292122e-08,8.581596491122429e-08,1.9205863069999898e-07,,1.1817425746556e-07,,,5.6118246739851e-08,,,7.57495760653329e-08,1.73637232459619e-07,6.52606050255696e-08,,1.35085533539328e-07
HEX1,6.40062275016044e-06,4.70353608254094e-06,4.6061569138189e-06,4.676000000000001e-06,6.20437724131118e-06,4.4364062362155705e-06,5.0683664311225194e-06,4.25162266288418e-06,2.62535797791651e-06,4.13456366920973e-06,5.218117760940551e-06,3.5726746482813797e-06,4.1161342040449896e-06,2.50791696437104e-06,4.74008382912825e-06,4.11872376358625e-06,2.65860562160009e-06,2.9918565948595e-06,4.01018420901598e-06,3.88125940090454e-06,3.71677100093293e-06,3.81969696711261e-06,2.94871456886322e-06,3.87215902504972e-06,3.1250971816175702e-06,3.48087337633553e-06,1.8359999999999999e-06,1.7611776435189899e-06,2.37685993040495e-06,5.18493418217463e-06,2.158e-06
